# Minecraft Java Edition — Source of Truth Block IDs
# Generated: 2026-03-31
# Total entries: 1135
# Sources: Minecraft Wiki Block IDs table + minecraftitemids.com (cross-referenced)
#
# Format: block_id | Block Name | Item Form Status
# Item Form Status:
#   Identical     = Block and item share the same ID
#   Different:X   = Block has item form with a different ID (X)
#   Alternate:X   = Alternate placement of block X (wall variant, etc.)
#   Indirect:X    = No direct item form, but Pick Block gives X
#   No item form  = Block has no item form at all

Block ID                                        | Block Name                                | Item Form
------------------------------------------------| ------------------------------------------| ------------------------------
acacia_button                                   | Acacia Button                             | Identical
acacia_door                                     | Acacia Door                               | Identical
acacia_fence                                    | Acacia Fence                              | Identical
acacia_fence_gate                               | Acacia Fence Gate                         | Identical
acacia_hanging_sign                             | Acacia Hanging Sign                       | Identical
acacia_leaves                                   | Acacia Leaves                             | Identical
acacia_log                                      | Acacia Log                                | Identical
acacia_planks                                   | Acacia Planks                             | Identical
acacia_pressure_plate                           | Acacia Pressure Plate                     | Identical
acacia_sapling                                  | Acacia Sapling                            | Identical
acacia_sign                                     | Acacia Sign                               | Identical
acacia_slab                                     | Acacia Slab                               | Identical
acacia_stairs                                   | Acacia Stairs                             | Identical
acacia_trapdoor                                 | Acacia Trapdoor                           | Identical
acacia_wall_hanging_sign                        | Acacia Wall Hanging Sign                  | Alternate: acacia_hanging_sign
acacia_wall_sign                                | Acacia Wall Sign                          | Alternate: acacia_sign
acacia_wood                                     | Acacia Wood                               | Identical
activator_rail                                  | Activator Rail                            | Identical
air                                             | Air                                       | Identical
allium                                          | Allium                                    | Identical
amethyst_block                                  | Block of Amethyst                         | Identical
amethyst_bud                                    | Amethyst Bud                              | Identical
amethyst_cluster                                | Amethyst Cluster                          | Identical
ancient_debris                                  | Ancient Debris                            | Identical
andesite                                        | Andesite                                  | Identical
andesite_slab                                   | Andesite Slab                             | Identical
andesite_stairs                                 | Andesite Stairs                           | Identical
andesite_wall                                   | Andesite Wall                             | Identical
anvil                                           | Anvil                                     | Identical
apple                                           | Apple                                     | Identical
arrow                                           | Arrow                                     | Identical
arrow_loaded_crossbow                           | Arrow Loaded Crossbow                     | Identical
attached_melon_stem                             | Attached Melon Stem                       | Indirect: melon_seeds
attached_pumpkin_stem                           | Attached Pumpkin Stem                     | Indirect: pumpkin_seeds
azalea                                          | Azalea                                    | Identical
azalea_leaves                                   | Azalea Leaves                             | Identical
azure_bluet                                     | Azure Bluet                               | Identical
bamboo                                          | Bamboo                                    | Identical
bamboo_block                                    | Block of Bamboo                           | Identical
bamboo_button                                   | Bamboo Button                             | Identical
bamboo_door                                     | Bamboo Door                               | Identical
bamboo_fence                                    | Bamboo Fence                              | Identical
bamboo_fence_gate                               | Bamboo Fence Gate                         | Identical
bamboo_hanging_sign                             | Bamboo Hanging Sign                       | Identical
bamboo_mosaic                                   | Bamboo Mosaic                             | Identical
bamboo_mosaic_slab                              | Bamboo Mosaic Slab                        | Identical
bamboo_mosaic_stairs                            | Bamboo Mosaic                             | Identical
bamboo_planks                                   | Bamboo Planks                             | Identical
bamboo_pressure_plate                           | Bamboo Pressure Plate                     | Identical
bamboo_sapling                                  | Bamboo Shoot                              | Indirect: bamboo
